Meno	Kraj	Nadm.vyska (m.n.m.)	GPS	Rozloha (km2)	Obyvatelstvo	Hustota obyv. (obyv./km2)	PSC	SUJ	ECV	TEL
Ábelová	Banskobystrický kraj	445	48.410833°S 19.432222°V	52,17	241	4,62	985 13	511226	LC	+421-47	
Abovce	Banskobystrický kraj	159	48.318889°S 20.336944°V	8,2	620	75,61	980 44 	557757	RS	+421-47	
Abrahám	Trnavský kraj	125	48.250000°S 17.616667°V	15,78	1 040	65,91	925 45	503673	GA	+421-31	
Abrahámovce	Prešovský kraj	267	49.161667°S 21.342222°V	5,9	364	61,69	086 41 	519014	BJ	+421-54	
Abrahámovce	Prešovský kraj	739	49.161667°S 21.342222°V	6,65	263	39,55	059 72 	523399	KK	+421-52	
Abramová	Žilinský kraj	478	48.936389°S 18.796389°V	12,64	197	15,59	038 22 	512044	TR	+421-43	
Abranovce	Prešovský kraj	446	48.934167°S 21.341944°V	9,58	633	66,08	082 52 	524158	PO	+421-51	
Adamovské Kochanovce	Trenčiansky kraj	210	48.852500°S 17.927778°V	9,66	846	87,58	913 05 	505838	TN	+421-32	
Adidovce	Prešovský kraj	204	49.015833°S 22.036944°V	20,77	204	9,82	067 32 	520012	HE	+421-57	
Alekšince	Nitriansky kraj	162	48.366389°S 17.947222°V	15,07	1 677	111,28	951 22	500020	NR	+421-37	
Andovce	Nitriansky kraj	112	47.994444°S 18.106389°V	10,78	1 400	129,87	941 23	503029	NZ	+421-35	
Andrejová	Prešovský kraj	319	49.333333°S 21.331389°V	11,66	367	31,48	086 37 	519022	BJ	+421-54	
Ardanovce	Nitriansky kraj	237	48.536667°S 17.905000°V	6,73	211	31,35	956 06 	556220	TO	+421-38	
Ardovo	Košický kraj	268	48.533056°S 20.418889°V	11,21	169	15,08	049 55 	525537	RV	+421-58	
Arnutovce	Košický kraj	520	48.979167°S 20.495278°V	2,23	744	333,63	053 13 	526363	SN	+421-53	
Báb	Nitriansky kraj	stred 150   v chotári je 132 – 192	48.311667°S 17.870833°V	20,09	1 077	53,61	951 34	500046	NR	+421-37	
Babie	Prešovský kraj	217	49.069444°S 21.492222°V	8	242	30,25	094 31 	544060	VT	+421-57	
Babín	Žilinský kraj	680	49.332222°S 19.379444°V	17,39	1 414	81,31	029 52 	509558	NO	+421-43	
Babiná	Banskobystrický kraj	418	48.435278°S 19.091111°V	22,17	545	24,58	962 61 	518166	ZV	+421-45	
Babindol	Nitriansky kraj	195	48.289167°S 18.241389°V	5,41	706	130,5	951 53 	581623	NR	+421-37	
Babinec	Banskobystrický kraj	423	48.511667°S 20.005000°V	4,91	70	14,26	980 26 	514489	RS	+421-47	
Bacúch	Banskobystrický kraj	605	48.857222°S 19.807500°V	38,19	986	25,82	976 64 	508446	BR	+421-48	
Bacúrov	Banskobystrický kraj	452	48.519722°S 19.058611°V	9,6	152	15,83	962 61 	518174	ZV	+421-45	
Báč	Trnavský kraj	123	48.003889°S 17.376667°V	3,92	562	143,37	930 30 	501441	DS	+421-31	
Bačka	Košický kraj	101	48.442500°S 22.050833°V	9,58	649	67,75	076 84 	528102	TV	+421-56	
Bačkov	Košický kraj	200	48.739167°S 21.621111°V	27,68	667	24,1	076 61	528111	TV	+421-56	
Bačkovík	Košický kraj	269	48.783333°S 21.432222°V	4,18	506	121,05	044 45 	521141	KS	+421-55	
Bádice	Nitriansky kraj	187	48.397500°S 18.128056°V	4,11	312	75,91	951 46 	582697	NR	+421-37	
Badín	Banskobystrický kraj	369	48.663056°S 19.125278°V	34,38	1 876	54,57	976 32	508454	BB	+421-48	
Baďan	Banskobystrický kraj	401	48.332222°S 18.840833°V	15,09	207	13,72	969 01 	516601	BS	+421-45	
Báhoň	Bratislavský kraj	160	48.308889°S 17.445278°V	10,57	1 735	164,14	900 84	507806	PK	+421-33	
Bajany	Košický kraj	106	48.603333°S 22.109722°V	5,55	481	86,67	072 54 	522287	MI	+421-56	
Bajč	Nitriansky kraj	121	47.928056°S 18.206389°V	36,48	1 232	33,77	946 54	501034	KN	+421-35	
Bajerov	Prešovský kraj	349	48.956389°S 21.118333°V	6,63	459	69,23	082 41	524174	PO	+421-51	
Bajerovce	Prešovský kraj	665	49.211944°S 20.794722°V	16,11	299	18,56	082 73 	524182	SB	+421-51	
Bajka	Nitriansky kraj	161	48.151667°S 18.519167°V	5,76	326	56,6	935 51 	502049	LV	+421-36	
Bajtava	Nitriansky kraj	174	47.856389°S 18.745278°V	9,33	410	43,94	943 65 	503037	NZ	+421-36	
Baka	Trnavský kraj	115	47.905556°S 17.525000°V	19,99	1 099	54,98	930 04	501450	DS	+421-31	
Baláže	Banskobystrický kraj	538	48.813611°S 19.195556°V	14,22	215	15,12	976 11 	508471	BB	+421-48	
Baldovce	Prešovský kraj	430	48.993333°S 20.713611°V	2,2	180	81,82	053 04 	526371	LE	+421-53	
Balog nad Ipľom	Banskobystrický kraj	135	48.076111°S 19.135278°V	8,35	838	100,36	991 11	515868	VK	+421-47	
Baloň	Trnavský kraj	111	47.831111°S 17.670833°V	16,07	749	46,61	930 08 	501468	DS	+421-31	
Banka	Trnavský kraj	177	48.583056°S 17.849722°V	8,58	2 147	250,23	921 01 	581399	PN	+421-33	
Bánov	Nitriansky kraj	121	48.048889°S 18.192222°V	19,76	3 720	188,26	941 01	503045	NZ	+421-35	
Bánovce nad Bebravou	Trenčiansky kraj	209	48.718611°S 18.258056°V	26,55	19 133	720,64	957 01, 957 03, 957 04	542652	BN	+421-38	
Bánovce nad Ondavou	Košický kraj	110	48.682222°S 21.814722°V	12,24	739	60,38	072 04 	522295	MI	+421-56	
Banská Belá	Banskobystrický kraj	469	48.474167°S 18.933611°V	21,08	1 216	57,69	966 15	516627	BS	+421-45	
Banská Bystrica	Banskobystrický kraj	368	48.738611°S 19.156944°V	103,38	79 368	767,73	974 01, 974 04, 974 05, 974 09, 974 11	508438	BB, BC	+421-48	
Banská Štiavnica	Banskobystrický kraj	621	48.458889°S 18.892222°V	46,74	10 259	219,49	969 01	516643	BS	+421-45	
Banské	Prešovský kraj	327	48.829167°S 21.573611°V	29,86	1 778	59,54	094 12 	544078	VT	+421-57	
Banský Studenec	Banskobystrický kraj	570	48.446389°S 18.971111°V	19,2	449	23,39	969 01 	516651	BS	+421-45	
Baňa	Prešovský kraj	413	49.213611°S 21.610000°V	1,91	177	92,67	091 01 	527114	SP	+421-54	
Bara	Košický kraj	Veľká Bara – 180  Malá Bara – 144	48.425000°S 21.716944°V	6,25	308	49,28	076 32 	528129	TV	+421-56	
Barca	Banskobystrický kraj	194	48.373056°S 20.230556°V	11,5	534	46,43	982 51 	514501	RS	+421-47	
Bardejov	Prešovský kraj	323	49.292222°S 21.276389°V	72,39	33 296	459,95	085 01	519006	BJ	+421-54	
Bardoňovo	Nitriansky kraj	193	48.110556°S 18.426389°V	23,81	747	31,37	941 49	503053	NZ	+421-35	
Bartošova Lehôtka	Banskobystrický kraj	390	48.653611°S 18.910833°V	8,64	388	44,91	967 01 	516660	ZH	+421-45	
Bartošovce	Prešovský kraj	355	49.196389°S 21.276111°V	11,23	718	63,94	086 42 	519049	BJ	+421-54	
Baška	Košický kraj	366	48.707500°S 21.181111°V	4,5	526	116,89	040 16 	521159	KS	+421-55	
Baškovce	Prešovský kraj	194	49.033056°S 21.837222°V	6,63	428	64,56	067 23	520021	HE	+421-57	
Baškovce	Košický kraj	172	48.785278°S 22.206944°V	6,21	256	41,22	073 01 	522309	SO	+421-56	
Bašovce	Trnavský kraj	165	48.632778°S 17.796389°V	4,04	353	87,38	922 01 	558354	PN	+421-33	
Batizovce	Prešovský kraj	751	49.075833°S 20.181111°V	14,35	2 318	161,53	059 35	523402	PP	+421-52	
Bátka	Banskobystrický kraj	182	48.380278°S 20.167222°V	12,02	927	77,12	980 21	514519	RS	+421-47	
Bátorová	Banskobystrický kraj	159	48.134167°S 19.271667°V	5,94	377	63,47	991 26 	515876	VK	+421-47	
Bátorove Kosihy	Nitriansky kraj	132	47.824444°S 18.416944°V	45,89	3 427	74,68	946 34	501395	KN	+421-35	
Bátovce	Nitriansky kraj	224	48.291111°S 18.745000°V	31,63	1 074	33,96	935 03	502057	LV	+421-36	
Beckov	Trenčiansky kraj	190	48.789444°S 17.895000°V	28,63	1 343	46,91	916 38	505846	NM	+421-32	
Beharovce	Prešovský kraj	464	49.002500°S 20.810278°V	2,65	171	64,53	053 05	526380	LE	+421-53	
Becherov	Prešovský kraj	426	49.420000°S 21.310833°V	19,09	275	14,41	086 35	519057	BJ	+421-54	
Belá	Nitriansky kraj	186	47.832222°S 18.597778°V	8,69	357	41,08	943 53 	503061	NZ	+421-36	
Belá	Žilinský kraj	494	49.239722°S 18.944167°V	38,61	3 392	87,85	013 05	517429	ZA	+421-41	
Belá-Dulice	Žilinský kraj	512	49.003333°S 18.979722°V	51,17	1 259	24,6	038 11	512052	MT	+421-43	
Belá nad Cirochou	Prešovský kraj	211	48.978611°S 22.106111°V	17,35	3 366	194,01	067 81	520039	SV	+421-57	
Beladice	Nitriansky kraj	170	48.339167°S 18.298611°V	22,41	1 597	71,26	951 75	500062	ZM	+421-37	
